TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACACDEMIC_LEVEL,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,5,4,1,3,3,4,4,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لاشي,احترام,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1.0,,,1,7,3,3,4,4,5,4,4,4,5,5,5,5,5,5,5,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,10.0,,لاشي,السرعه في الاداء,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,5,4,3,3,3,4,1,4,3,4,5,5,5,4,4,4,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,8.0,,_,استقبال الموظفه,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,5,4,1,4,4,3,2,4,4,5,5,5,4,5,4,4,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,10.0,,_,_,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1.0,,,1,7,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,10.0,,_,تعامل الموظفه بلطف,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1.0,,,1,7,4,2,5,5,5,4,5,4,5,4,5,5,3,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,10.0,,Nothing,Quick well. Responsible,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,_,تعامل الموظفه,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1.0,,,1,7,3,3,4,4,5,2,5,3,5,5,5,5,3,5,5,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,,لا شي,تعامل الموظفين,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,7,4,3,3,3,4,4,4,4,4,3,5,5,4,4,4,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,10.0,,Nothing,Saving time,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8.0,,,1,5,4,3,4,4,5,2,4,3,4,3,4,3,4,4,3,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,9.0,,Nothing,Saving time,Q244_8
