TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACADEMIC,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,3.0,,,,1,7,3,3,3,3,5,5,4,5,5,5,5,5,4,2,5,5.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,,,,,Q233_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,1,5,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا يوجد,الاستقبال,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,1,5,1,1,3,3,5,1,2,4,5,5,5,5,3,1,5,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,مراجعة حالة الطلب,الاستقبال,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,7.0,,,,1,5,1,1,4,4,5,1,5,5,5,5,5,4,4,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,,تكلفة الخدمة,استقبال الموظفة,Q233_7
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,2,7,3,1,2,2,4,1,5,3,3,5,5,5,2,2,5,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,,التنقل من شباك لشباك من دون الحصول على خدمة,الاستقبال,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,1,7,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,8.0,,قلة موظفين الدعم الفني,التعامل,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,1,8,1,1,3,3,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,مواقف السيارات,اهتمام الموظفين,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,2,8,1,1,3,3,5,1,5,5,5,5,5,5,5,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,10.0,,الانتظار,تعاون الموظفين,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,1,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,مواقف السيارات,الضيافة والاستقبال,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9.0,,,,2,7,3,3,5,5,5,3,5,5,5,5,5,5,3,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شيء,جسن التعامل,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,7.0,,,,1,7,3,3,4,4,5,1,4,5,4,3,5,5,5,5,4,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,7.0,,لا يوجد,لطافة الموظفين,Q233_7
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,1.0,,,,2,5,1,1,5,5,5,3,3,3,4,5,5,5,4,5,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,,تجربو,تجربة,Q233_1
