TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACACDEMIC_LEVEL,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شيء,ان الكل متعاون بدون طلب ذلك وايضا السرعة والانجاز,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,4,1,5,5,5,5,4,5,5,5,4,5,5,5,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,10.0,,لايوجد,كل شي سريع وخدمة ممتازة من قبل موظفي الاستقبال,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,اريد ان يكون هناك توثيق للشهادات في الفترة المسائية وذلك للتخفيف عل المتعامل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,في كل سنة أزور المركز وآجد كل تقدم وسرعة وإنجاز في مجال توثيق الشهادات واتمنى عمل فكرة توصيل آوراق المعاملات  بالبيت  وذلك لغرض التوقيع لكبار السن,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا يوجد,كل شى مريح بالمكان سواء كراسي آو مكيفات وضيافة وحسن استقبال وسرعة في انجاز المعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,الإجراءات تتم بسهولة وسرعة وفقط بانتظار القاضي وهي المرحلة النهائية للمعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,10.0,,Nothing,Every thing is very good and they are helpful,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,8,1,1,5,5,4,2,4,4,5,4,5,3,5,5,5,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,8.0,,أماكن السيارات بعيدة عن المركز وأخذت وقت في المشي للداخل في الطقس الحار,تعامل الموظفين وحسن استقبال,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0,,لايوجد,الابتسامة والتعاون,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,7,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,,ان الإجراءات في عمل التوريث للوراثة صعب بعض الشي أيضا عدم الحصول علي مترجم لتوصيل المعلومة من التعامل للقاضي والعكس,ان هناك مساعدة وتعاون منقبلالموظفين,Q326_3
