TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACADEMIC,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,10.0,,لايوجد,تعاملهم جيد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,3,1,3,4,4,1,2,4,5,5,5,5,5,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,8.0,,Nothing much,Translator are the best part its easy to communicate,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,7,3,1,5,4,3,5,5,4,5,5,5,5,3,4,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0,,انتظار القاضي,حسن الاستقبال,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,1,4,4,2,4,4,4,4,5,5,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,Nothing,Nothing to add,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لاشء,سرعة الانجاز,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,4,3,4,4,4,2,4,3,5,4,5,4,4,4,5,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,8.0,,Parking space,On time work,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,5,4,3,5,5,4,5,4,5,5,5,5,5,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,8.0,,لاشئ,التفاعل السريع وإفاتى بالملاحظات,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,3,3,5,1,3,3,4,4,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,استخدام بعض الموظفين للهاتف أثناء وقت العمل طلب توفير شفت مسائي بعض الموظفين اسلوبهم ليس لطيف,لاشي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لاشي,الخدمات جيدة,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,7,3,1,2,2,3,5,3,4,5,4,5,4,1,1,4,5.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,,بطي الإجراءات,حسن الاستقبال,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,4,2,5,3,4,3,4,4,5,5,4,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,5,1,1,1,2,5,2,5,1,2,2,3,3,4,4,3,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,7.0,,عدم التواصل معي . مده الانتظار طويله. احتاج الدفع لرفع الحجز عن الحساب البنكي لكن لايوجد دفع كاش ولايوجد تعاون للمساعده ، عدم الجديه في التعامل  مع المتعامل خاصه اذا كان الموظف مواطن,لايوجد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,7,1,1,2,2,3,1,4,3,3,2,4,3,4,3,3,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,7.0,,الباركنات سيئه جدا غبر مناسبه كا منبى محكمه، كاونتر  15 غير واضح مكانه ، انشغال بعض الموظفين بالهاتف ، عدم توفر الموظف الشامل لمساعده عدد اكبر من المتعاملين، عدم إلمام  بعض الموظفين بمهامهمالموظف,لاشي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,الحكم غير منصف,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,5,5,1,1,5,3,5,4,5,4,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,9.0,,مع قله المراجعين هناك وقت للانتظار. انا من أصحاب الهمم لم اجد باركن داخلي  بعض الأحيان يوجد تأخير بالرد على الواتس,تعاملهم جيد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,3,1,4,4,2,4,4,4,4,4,5,5,5,5,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,,صعوبه الحصول على باركن  رسوم مقابله القاضي في كل مره عاليه يرحى النظر في الموضوع يرجى توفير وقت مسائي,لايوجد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,5,4,1,5,5,3,4,5,4,3,4,5,4,5,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,,Nothing,Nothing,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,10.0,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,8,3,1,4,4,4,5,3,4,3,4,4,4,5,4,4,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,0.0,,بعض الموظفين متعاونين والبعض غير لطيف بالتعامل,لم يتم توضيح الاجراء من قبل الموظفين لي في بدايه فتح القضيه ما تسبب بضرر لي,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,5,4,4,4,4,3,4,4,4,4,3,4,4,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,10.0,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,4,4,5,3,4,4,5,5,4,4,4,4,4,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,9.0,,Nothing,Customer response,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لايوجد,الخدمات متميزة,Q256_2
